Rank,book title,book price,rating,author,year of publication,genre
1,"Iron Flame (The Empyrean, 2)",18.42,4.1,Rebecca Yarros,2023,Fantasy Romance
2,The Woman in Me,20.93,4.5,Britney Spears,2023,Memoir
3,My Name Is Barbra,31.5,4.5,Barbra Streisand,2023,Autobiography
4,"Friends, Lovers, and the Big Terrible Thing: A Memoir",23.99,4.4,Matthew Perry,2023,Memoir
5,How to Catch a Turkey,5.65,4.8,Adam Wallace,2018,"Childrens, Fiction"
6,"Fourth Wing (The Empyrean, 1)",16.99,4.8,Rebecca Yarros,2023,Fantasy
7,Unwoke: How to Defeat Cultural Marxism in America,27.43,4.3,Unknown,2023,"Nonfiction, Politics"
8,No Brainer (Diary of a Wimpy Kid Book 18),8.55,4.8,Jeff Kinney,2023,"Humor, Middle Grade"
9,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,9.86,4.4,David Grann,2017,"Nonfiction, True Crime"
10,All the Light We Cannot See: A Novel,11.98,4.5,Anthony Doerr,2014,Historical Fiction
11,The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),10.99,4.6,Suzanne Collins,2020,"Adventure, War, Science fiction, Romance, Action, Thriller"
12,Night (Night),6.26,4.7,Elie Wiesel,1960,Memoir
13,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,13.79,4.8,James Clear,2018,"Self-improvement, Nonfiction"
14,Stocking Stuffer Mad Libs: World's Greatest Word Game,2.79,4.8,Leigh Olsen,2018,"Childrens, Storytime,Fiction"
15,The 48 Laws of Power,13.82,4.7,Robert Greene,1998,Nonfiction
16,The Great Disappearance: 31 Ways to be Rapture Ready,18.84,4.6,David Jeremiah,2023,"Spiritual Warfare, Biblical Studies - Prophecy, Christian Theology - Eschatology"
17,Lessons in Chemistry: A Novel,15.37,4.6,Bonnie Garmus,2022,"Fiction, Historical Fiction"
18,The Exchange: After The Firm (The Firm Series),18.96,4.1,John Grisham,2023,"Literary, Thrillers - Suspense"
19,Taylor Swift: A Little Golden Book Biography,4.78,4.9, Wendy Loggia,2023,"Picture Books, Biography"
20,Don't Let the Pigeon Drive the Sleigh!,11.99,4.8,Mo Willems,2023,"Picture Books, Christmas, Holiday, Humor, Childrens, Fiction, Animals"
21,Turkey Trouble,8.79,4.8,Wendi Silvano,2009,"Picture Books, Childrens, Holiday, Animals, Humor, Storytime, Fiction"
22,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",9.68,4.8,Bessel van der Kolk,2014,"Nonfiction, Psychology, Self Help, Mental Health, Health, Science"
23,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",8.89,4.6,Sarah J. Maas,2015,"Fantasy, Romance, Young Adult, Fiction, New Adult, Fae"
24,A Little Life,11.83,4.5,Hanya Yanagihara,2015,"Fiction, Contemporary, LGBT, Literary Fiction, Queer, Adult, Mental Health"
25,"House of Flame and Shadow (Crescent City, 3)",18.48,,Sarah J. Maas,2023,"Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
26,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",9.43,4.8,Editors of Publications International,2013,"Childrens, Activities, Crafts, Games"
27,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",3.78,4.9,Sherri Duskey Rinker,2011,"Picture Book, Cars and Trucks"
28,The Leaf Thief: (The Perfect Fall Book for Children and Toddlers),10.39,4.8,Alice Hemming,2021,Childrens
29,Murtagh: The World of Eragon (The Inheritance Cycle),22.48,4.8,Christopher Paolini,2023,"Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
30,"Brown Bear, Brown Bear, What Do You See?",4.94,4.9,Bill Martin Jr.,1967,"Picture Book, Colors, Wild Animals"
31,Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St,12.19,4.9,Bill Martin Jr.,1967,"Childrens, literature"
